source,target,Timestamp
PatriotaPlayera,EstadoDAlarmaTV,2023-04-13T08:46:37.000Z
_gemma_1,Jaume752,2023-04-13T08:46:23.000Z
JulenBR96,ancormesa,2023-04-13T08:45:56.000Z
Tweety2719mes,rovigar59,2023-04-13T08:45:45.000Z
kolontai1959,MarcSerraSole,2023-04-13T08:44:46.000Z
AQUARIUS_FXT,rovelldou1,2023-04-13T08:44:06.000Z
mvzdl,rovelldou1,2023-04-13T08:43:30.000Z
NiuboVictor,rovelldou1,2023-04-13T08:43:22.000Z
rtorredemerturu,rovelldou1,2023-04-13T08:43:00.000Z
gallegoad,Jaume752,2023-04-13T08:42:33.000Z
MLebeauf,pazzoreale,2023-04-13T08:42:09.000Z
MLebeauf,Villalon1Isabel,2023-04-13T08:42:09.000Z
coiamb,Jaume752,2023-04-13T08:42:02.000Z
SalgadoSergi,MarcSerraSole,2023-04-13T08:41:31.000Z
Galiano44,rovelldou1,2023-04-13T08:38:13.000Z
EmDicMerce,squad_milf,2023-04-13T08:38:11.000Z
RayaTukos,MarcSerraSole,2023-04-13T08:37:56.000Z
kapalsjoan2028,MarcFerre_Cat,2023-04-13T08:37:30.000Z
Flius2,rovelldou1,2023-04-13T08:37:21.000Z
dgsola,rovelldou1,2023-04-13T08:36:09.000Z
mbrugues,MarcFerre_Cat,2023-04-13T08:35:00.000Z
martallohis,JaumeBarbera,2023-04-13T08:34:51.000Z
martallohis,xaviertrias,2023-04-13T08:34:51.000Z
martallohis,AdaColau,2023-04-13T08:34:51.000Z
zeus14680,rac1,2023-04-13T08:34:49.000Z
xborras1900gma1,rovelldou1,2023-04-13T08:34:37.000Z
1965mon,ernesturtasun,2023-04-13T08:33:50.000Z
anaoromi,LeoTaxilRetorn,2023-04-13T08:33:40.000Z
bcnencomu,MarcSerraSole,2023-04-13T08:33:37.000Z
IoccoLiliana,Annuska34,2023-04-13T08:33:09.000Z
VSapienti,Jaume752,2023-04-13T08:33:06.000Z
JOSELUI92154053,danielsirera,2023-04-13T08:32:57.000Z
mar_nyc,DerFekka,2023-04-13T08:32:12.000Z
JMPol2,Jaume752,2023-04-13T08:32:10.000Z
MAxiuxiueig,Jaume752,2023-04-13T08:31:25.000Z
chugarcre26,hazteoir,2023-04-13T08:31:13.000Z
luisDA52005164,EstadoDAlarmaTV,2023-04-13T08:31:05.000Z
JaumeBarbera,xaviertrias,2023-04-13T08:30:40.000Z
JaumeBarbera,AdaColau,2023-04-13T08:30:40.000Z
JaumeBarbera,8tvcat,2023-04-13T08:30:40.000Z
rosagpl44,CUPBarcelona,2023-04-13T08:30:38.000Z
JordiMuozUllde1,Jaume752,2023-04-13T08:30:32.000Z
j_schnitlauch,LT16616534,2023-04-13T08:29:13.000Z
Mtelladof,danielsirera,2023-04-13T08:29:07.000Z
FolchBot,rovelldou1,2023-04-13T08:27:32.000Z
gabriifcn,_aaalvar,2023-04-13T08:27:24.000Z
EdgarAl91654035,LT16616534,2023-04-13T08:24:21.000Z
Malvcasj,elmundoes,2023-04-13T08:24:04.000Z
JoanRub45406634,BentanachsFredi,2023-04-13T08:23:58.000Z
JoanRub45406634,titonlailla,2023-04-13T08:23:58.000Z
RD_Arquitectos_,DerFekka,2023-04-13T08:23:51.000Z
BCibada,Jaume752,2023-04-13T08:23:09.000Z
Misterneper,CoradoJuanramon,2023-04-13T08:23:04.000Z
BCibada,rovelldou1,2023-04-13T08:22:51.000Z
mambacatalana2,Jaume752,2023-04-13T08:22:50.000Z
martamu4,Jaume752,2023-04-13T08:21:47.000Z
alvaronieto,TheObjective_es,2023-04-13T08:21:44.000Z
alvaronieto,annagrauarias,2023-04-13T08:21:44.000Z
descuidembcn,MarcFerre_Cat,2023-04-13T08:20:48.000Z
JuanPeGi3,Jaume752,2023-04-13T08:20:40.000Z
RouseMa3,Jaume752,2023-04-13T08:20:29.000Z
TeresaGT15,rovelldou1,2023-04-13T08:19:59.000Z
somosdomitilas,MarcSerraSole,2023-04-13T08:19:52.000Z
FrancescCesc1,MarcFerre_Cat,2023-04-13T08:19:01.000Z
